customer_type,en_title,fa_title,en_description,fa_description,price,category,sim_type,auto_renewal,giftable,upc_code,duration_unit,duration,type,giftable_code,account_type,en_details,fa_details,en_tags,fa_tags
prepaid,1Hour 500MB Advance Internet - 21000 IRR,بسته یکساعته 500مگ اینترنت اضطراری - 21000 ریال,1Hour 500MB Advance Internet - 21000 IRR,بسته یکساعته 500مگ اینترنت اضطراری - 21000 ریال,17500,AdvanceAirtimeNData,fd,forbidden,no,8KEUTGIP,hour,0,data,,individual,,,,
prepaid,1Hour 2GB Advance Internet - 67000 IRR,بسته یکساعته 2گیگ اینترنت اضطراری - 67000 ریال,1Hour 2GB Advance Internet - 67000 IRR,بسته یکساعته 2گیگ اینترنت اضطراری - 67000 ریال,55833,AdvanceAirtimeNData,fd,forbidden,no,MQTKN51G,hour,0,data,,individual,,,,
prepaid,1Hour 1GB Advance Internet - 42000 IRR,بسته یکساعته 1گیگ اینترنت اضطراری - 42000 ریال,1Hour 1GB Advance Internet - 42000 IRR,بسته یکساعته 1گیگ اینترنت اضطراری - 42000 ریال,35000,AdvanceAirtimeNData,fd,forbidden,no,21B4POGG,hour,0,data,,individual,,,,
prepaid,1Hour 150MB Advance Internet - 10000 IRR,بسته یکساعته 150مگ اینترنت اضطراری - 10000 ریال,1Hour 150MB Advance Internet - 10000 IRR,بسته یکساعته 150مگ اینترنت اضطراری - 10000 ریال,8333,AdvanceAirtimeNData,fd,forbidden,no,ZJJQD6ZQ,hour,0,data,,individual,,,,
prepaid,Daily 60MB Advance Internet - 20000 IRR,بسته یکروزه 60مگ اینترنت اضطراری - 20000 ریال,Daily 60MB Advance Internet - 20000 IRR,بسته یکروزه 60مگ اینترنت اضطراری - 20000 ریال,16667,AdvanceAirtimeNData,fd,forbidden,no,LHFDG2NE,day,0,data,,individual,,,,
prepaid,Daily 400MB Advance Internet - 57000 IRR,بسته یکروزه 400مگ اینترنت اضطراری - 57000 ریال,Daily 400MB Advance Internet - 57000 IRR,بسته یکروزه 400مگ اینترنت اضطراری - 57000 ریال,47500,AdvanceAirtimeNData,fd,forbidden,no,15FFRLAH,day,0,data,,individual,,,,
prepaid,Daily 200MB Advance Internet - 40000 IRR,بسته یکروزه 200مگ اینترنت اضطراری - 40000 ریال,Daily 200MB Advance Internet - 40000 IRR,بسته یکروزه 200مگ اینترنت اضطراری - 40000 ریال,33333,AdvanceAirtimeNData,fd,forbidden,no,IEGUP765,day,0,data,,individual,,,,
prepaid,Daily 2.5GB Advance Internet - 130000 IRR,بسته یکروزه 2.5گیگ اینترنت اضطراری - 130000 ریال,Daily 2.5GB Advance Internet - 130000 IRR,بسته یکروزه 2.5گیگ اینترنت اضطراری - 130000 ریال,108333,AdvanceAirtimeNData,fd,forbidden,no,DT9L6IMB,day,0,data,,individual,,,,
prepaid,Weekly 500MB Advance Internet - 100000 IRR,بسته هفتگی 500مگ اینترنت اضطراری - 100000 ریال,Weekly 500MB Advance Internet - 100000 IRR,بسته هفتگی 500مگ اینترنت اضطراری - 100000 ریال,83333,AdvanceAirtimeNData,fd,forbidden,no,USOFWUZ9,day,0,data,,individual,,,,
prepaid,Weekly 1.5GB Advance Internet - 160000 IRR,بسته هفتگی 1.5گیگ اینترنت اضطراری - 160000 ریال,Weekly 1.5GB Advance Internet - 160000 IRR,بسته هفتگی 1.5گیگ اینترنت اضطراری - 160000 ریال,133333,AdvanceAirtimeNData,fd,forbidden,no,SXMSJDXD,day,0,data,,individual,,,,
