code,description_en,description_fa,service_type,package_size,package_unit,lob,duration
64419,7GB-28200T, 7گیگ-28,200ت,Postpaid,7,GB,GSM,Monthly
64416,3GB-19000T, 3گیگ -19,000ت,Postpaid,3,GB,GSM,Monthly
77092,30 Days Unlimited Internet(2-7AM),بسته 30 روزه نامحدود (2 تا 7صبح),Postpaid,-1,,GSM,Monthly
64418,5GB-23600T, 5گیگ-23,600ت,Postpaid,5,GB,GSM,Monthly
64417,4GB-21300T, 4گیگ-21,300ت,Postpaid,4,GB,GSM,Monthly
73993,7GB Internet 30-Day (6AM-12PM),بسته ۷ گیگابایت ۳۰ روزه (۶ صبح تا ۱۲ ظهر),Postpaid,7,GB,GSM,Monthly
63173,30GB Internet 30-Day (2-7AM),بسته ۳۰ گیگابایت ۳۰ روزه (۲ تا ۷ صبح),Postpaid,30,GB,GSM,Monthly
63362,750MB Internet 15-Day,بسته ۷۵۰ مگابایت ۱۵ روزه,Postpaid,750,MB,GSM,15-day
63364,2.5GB Internet 15-Day,بسته ۲.۵ گیگابایت ۱۵ روزه,Postpaid,2.5,GB,GSM,15-day
63363,1.5GB Internet 15-Day,بسته ۱.۵ گیگابایت ۱۵ روزه,Postpaid,1.5,GB,GSM,15-day
63361,400MB Internet 15-Day,بسته ۴۰۰ مگابایت ۱۵ روزه,Postpaid,400,MB,GSM,15-day
63365,3.5GB Internet 15-Day,بسته ۳.۵ گیگابایت ۱۵ روزه,Postpaid,3.5,GB,GSM,15-day
63366,5GB Internet 15-Day,بسته ۵ گیگابایت ۱۵ روزه,Postpaid,5,GB,GSM,15-day
63376,10GB Internet 60-Day,بسته ۱۰ گیگابایت ۶۰ روزه,Postpaid,10,GB,GSM,2-Months
61422,60days 20GB-69000T,60روزه 20گیگ-69000ت,Postpaid,20,GB,GSM,2-Months
61421,60days 15GB-53000T,60روزه 15گیگ-53000ت,Postpaid,15,GB,GSM,2-Months
63350,400MB Internet 3-Day,بسته ۴۰۰ مگابایت ۳ روزه,Postpaid,400,MB,GSM,3-day
63349,250MB Internet 3-Day,بسته ۲۵۰ مگابایت ۳ روزه,Postpaid,250,MB,GSM,3-day
63353,2.5GB Internet 3-Day,بسته ۲.۵ گیگابایت ۳ روزه,Postpaid,2.5,GB,GSM,3-day
63348,150MB Internet 3-Day,بسته ۱۵۰ مگابایت ۳ روزه,Postpaid,150,MB,GSM,3-day
63352,1.5GB Internet 3-Day,بسته ۱.۵ گیگابایت ۳ روزه,Postpaid,1.5,GB,GSM,3-day
63351,750MB Internet 3-Day,بسته ۷۵۰ مگابایت ۳ روزه,Postpaid,750,MB,GSM,3-day
63064,24GB Internet 90-Day,بسته ۲۴ گیگابایت ۹۰ روزه,Postpaid,24,GB,GSM,3-Months
63051,18GB Internet 90-Day,بسته ۱۸ گیگابایت ۹۰ روزه,Postpaid,18,GB,GSM,3-Months
61424,120days 25GB-90000T,120روزه 25گیگ-90000ت,Postpaid,20,GB,GSM,4-Months
61423,120days 15GB-62000T,120روزه 15گیگ-62000ت,Postpaid,15,GB,GSM,4-Months
63054,36GB Internet 180-Day,بسته ۳۶ گیگابایت ۱۸۰ روزه,Postpaid,36,GB,GSM,6-Months
63068,48GB Internet 180-Day,بسته ۴۸ گیگابایت ۱۸۰ روزه,Postpaid,48,GB,GSM,6-Months
63347,2.5GB Internet 1-Day,بسته ۲.۵ گیگابایت ۱ روزه,Postpaid,2.5,GB,GSM,DAILY
