offer_id,offer_type,fa_title,en_title,upc_code,offer_calculation,accumulator_id,flag_offer_id,max_amount,amount_unit,only_full_rate
62722,data,768 مگ اینترنت 1 روزه 2500 ت,768MB data 1days 2500T,PO1480LTM,normal,,,,,
62723,data,768 مگ اینترنت 1 روزه 3150 ت,768MB data 1days 3150T,PO1481EPT,normal,,,,,
62724,data,768 مگ اینترنت 1 روزه 4000 ت,768MB data 1days 4000T,PO1482LTM,normal,,,,,
62725,data,1 گ اینترنت 1 روزه 3450 ت,1GB data 1days 3450T,PO1483ZCY,normal,,,,,
62726,data,1 گ اینترنت 1 روزه 3650 ت,1GB data 1days 3650T,PO1484ZCY,normal,,,,,
62727,data,1 گ اینترنت 1 روزه 4650 ت,1GB data 1days 4650T,PO1485LTM,normal,,,,,
62728,data,2.5 گ اینترنت 1 روزه 8200 ت,2.5GB data 1days 8200T,PO1486ZCY,normal,,,,,
62729,data,2.5 گ اینترنت 1 روزه 8600 ت,2.5GB data 1days 8600T,PO1487ZCY,normal,,,,,
62730,data,2.5 گ اینترنت 1 روزه 9200 ت,2.5GB data 1days 9200T,PO1488EPT,normal,,,,,
62731,data,2.5 گ اینترنت 1 روزه 9600 ت,2.5GB data 1days 9600T,PO1489LTM,normal,,,,,
62732,data,2.5 گ اینترنت 1 روزه 10500 ت,2.5GB data 1days 10500T,PO1490EPT,normal,,,,,
62733,data,2.5 گ اینترنت 1 روزه 11600 ت,2.5GB data 1days 11600T,PO1491LTM,normal,,,,,
62734,data,4 گ اینترنت 1 روزه 13000 ت,4GB data 1days 13000T,PO1492EPT,normal,,,,,
62735,data,4 گ اینترنت 1 روزه 13800 ت,4GB data 1days 13800T,PO1493EPT,normal,,,,,
62736,data,4 گ اینترنت 1 روزه 14600 ت,4GB data 1days 14600T,PO1494EPT,normal,,,,,
62737,data,4 گ اینترنت 1 روزه 15400 ت,4GB data 1days 15400T,PO1495LTM,normal,,,,,
62738,data,4 گ اینترنت 1 روزه 16600 ت,4GB data 1days 16600T,PO1496ZCY,normal,,,,,
62739,data,4 گ اینترنت 1 روزه 18600 ت,4GB data 1days 18600T,PO1497ZCY,normal,,,,,
62740,data,768 مگ اینترنت 3 روزه 2900 ت,768MB data 3days 2900T,PO1498ZCY,normal,,,,,
62741,data,768 مگ اینترنت 3 روزه 3200 ت,768MB data 3days 3200T,PO1499ZCY,normal,,,,,
62742,data,768 مگ اینترنت 3 روزه 5000 ت,768MB data 3days 5000T,PO1500EPT,normal,,,,,
62743,data,768 مگ اینترنت 3 روزه 6000 ت,768MB data 3days 6000T,PO1501LTM,normal,,,,,
62744,data,1.5 گ اینترنت 3 روزه 4650 ت,1.5GB data 3days 4650T,PO1502LTM,normal,,,,,
62745,data,1.5 گ اینترنت 3 روزه 5250 ت,1.5GB data 3days 5250T,PO1503LTM,normal,,,,,
